unityTimeStamp,sessionTime,HR
2024-05-06|17:21:13.246,0.720001,67
2024-05-06|17:21:14.248,1.720001,67
2024-05-06|17:21:15.248,2.720001,66
2024-05-06|17:21:16.248,3.720001,66
2024-05-06|17:21:17.250,4.720001,66
2024-05-06|17:21:18.251,5.720001,66
2024-05-06|17:21:19.253,6.720001,66
2024-05-06|17:21:20.255,7.720001,66
2024-05-06|17:21:21.257,8.720001,65
2024-05-06|17:21:22.260,9.720001,65
2024-05-06|17:21:23.261,10.720000,65
2024-05-06|17:21:24.262,11.720000,65
2024-05-06|17:21:25.263,12.720000,65
2024-05-06|17:21:26.265,13.720000,65
2024-05-06|17:21:27.266,14.740010,65
